                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.44026,                0.38313,                 0.7913,                0.99772,                0.99754,                0.99498,                0.96457,                0.27399,                0.21116,                0.76876,              0.0033258,              0.0033258,              0.0033258
                      2,                0.42245,                0.39156,                 0.7898,                0.99438,                0.99622,                0.99481,                0.95812,                0.29568,                0.23721,                0.77202,              0.0065932,              0.0065932,              0.0065932
                      3,                0.47517,                0.43532,                0.79353,                0.98208,                0.98337,                0.99317,                0.91794,                0.40316,                0.30331,                0.78397,              0.0097946,              0.0097946,              0.0097946
